date,channel_medium,purchases,revenue_usd
2020-11-24,(none),38,2503.0
2020-11-24,<Other>,12,776.0
2020-11-24,cpc,2,38.0
2020-11-24,organic,45,3984.0
2020-11-24,referral,28,1382.0
2020-11-25,(data deleted),22,1310.0
2020-11-25,(none),17,1815.0
2020-11-25,<Other>,16,1069.0
2020-11-25,cpc,1,26.0
2020-11-25,organic,26,2255.0
2020-11-25,referral,26,1646.0
2020-11-26,(data deleted),4,405.0
2020-11-26,(none),9,453.0
2020-11-26,<Other>,7,356.0
2020-11-26,cpc,2,46.0
2020-11-26,organic,25,2314.0
2020-11-26,referral,10,559.0
2020-11-27,(data deleted),21,1139.0
2020-11-27,(none),20,1279.0
2020-11-27,<Other>,10,762.0
2020-11-27,cpc,5,262.0
2020-11-27,organic,15,1190.0
2020-11-27,referral,26,2067.0
2020-11-28,(data deleted),8,517.0
2020-11-28,(none),18,1294.0
2020-11-28,<Other>,12,1184.0
2020-11-28,cpc,2,63.0
2020-11-28,organic,22,1899.0
2020-11-28,referral,16,1298.0
2020-11-29,(data deleted),10,415.0
2020-11-29,(none),7,681.0
2020-11-29,<Other>,6,367.0
2020-11-29,cpc,1,233.0
2020-11-29,organic,17,1229.0
2020-11-29,referral,10,937.0
2020-11-30,(data deleted),16,1053.0
2020-11-30,(none),26,2364.0
2020-11-30,<Other>,16,1282.0
2020-11-30,cpc,7,456.0
2020-11-30,organic,38,3942.0
2020-11-30,referral,38,2893.0
2020-12-01,(data deleted),15,843.0
2020-12-01,(none),25,1208.0
2020-12-01,<Other>,18,1395.0
2020-12-01,cpc,3,246.0
2020-12-01,organic,22,1266.0
2020-12-01,referral,24,1300.0
2020-12-02,(data deleted),14,1076.0
2020-12-02,(none),14,522.0
2020-12-02,<Other>,10,544.0
2020-12-02,cpc,5,308.0
2020-12-02,organic,22,2006.0
2020-12-02,referral,17,745.0
2020-12-03,(data deleted),9,381.0
2020-12-03,(none),20,1064.0
2020-12-03,<Other>,12,644.0
2020-12-03,cpc,1,50.0
2020-12-03,organic,27,1141.0
2020-12-03,referral,21,1037.0
2020-12-04,(data deleted),8,259.0
2020-12-04,(none),14,819.0
2020-12-04,<Other>,6,386.0
2020-12-04,cpc,3,95.0
2020-12-04,organic,40,2290.0
2020-12-04,referral,25,2609.0
2020-12-05,(data deleted),14,1033.0
2020-12-05,(none),22,1223.0
2020-12-05,<Other>,8,501.0
2020-12-05,cpc,1,307.0
2020-12-05,organic,25,1971.0
2020-12-05,referral,17,1361.0
2020-12-06,(data deleted),7,591.0
2020-12-06,(none),8,383.0
2020-12-06,<Other>,4,230.0
2020-12-06,organic,12,547.0
2020-12-06,referral,11,577.0
2020-12-07,(data deleted),23,931.0
2020-12-07,(none),23,1555.0
2020-12-07,<Other>,9,565.0
2020-12-07,cpc,5,345.0
2020-12-07,organic,22,3517.0
2020-12-07,referral,28,1559.0
2020-12-08,(data deleted),13,1061.0
2020-12-08,(none),31,3397.0
2020-12-08,<Other>,17,693.0
2020-12-08,cpc,6,208.0
2020-12-08,organic,22,1127.0
2020-12-08,referral,33,2209.0
2020-12-09,(data deleted),23,1444.0
2020-12-09,(none),32,2374.0
2020-12-09,<Other>,16,1656.0
2020-12-09,cpc,2,82.0
2020-12-09,organic,48,3631.0
2020-12-09,referral,29,1676.0
2020-12-10,(data deleted),27,2363.0
2020-12-10,(none),27,2723.0
2020-12-10,<Other>,11,350.0
2020-12-10,cpc,2,53.0
2020-12-10,organic,42,3435.0
2020-12-10,referral,34,1832.0
2020-12-11,(data deleted),18,1082.0
2020-12-11,(none),38,2401.0
2020-12-11,<Other>,12,822.0
2020-12-11,cpc,7,432.0
2020-12-11,organic,47,3050.0
2020-12-11,referral,38,2613.0
2020-12-12,(data deleted),22,1238.0
2020-12-12,(none),26,1782.0
2020-12-12,<Other>,10,567.0
2020-12-12,cpc,2,64.0
2020-12-12,organic,29,1436.0
2020-12-12,referral,17,1197.0
2020-12-13,(data deleted),14,830.0
2020-12-13,(none),11,491.0
2020-12-13,<Other>,13,553.0
2020-12-13,cpc,1,95.0
2020-12-13,organic,20,1522.0
2020-12-13,referral,15,904.0
2020-12-14,(data deleted),14,938.0
2020-12-14,(none),22,1305.0
2020-12-14,<Other>,13,1226.0
2020-12-14,cpc,2,240.0
2020-12-14,organic,26,2801.0
2020-12-14,referral,22,1995.0
2020-12-15,(data deleted),15,994.0
2020-12-15,(none),37,2770.0
2020-12-15,<Other>,11,709.0
2020-12-15,cpc,4,230.0
2020-12-15,organic,45,3472.0
2020-12-15,referral,27,1563.0
2020-12-16,(data deleted),25,1505.0
2020-12-16,(none),34,2919.0
2020-12-16,<Other>,7,585.0
2020-12-16,cpc,4,410.0
2020-12-16,organic,35,3773.0
2020-12-16,referral,38,2317.0
2020-12-17,(data deleted),29,1013.0
2020-12-17,(none),25,1590.0
2020-12-17,<Other>,4,212.0
2020-12-17,cpc,6,303.0
2020-12-17,organic,33,1648.0
2020-12-17,referral,29,1979.0
2020-12-18,(data deleted),13,746.0
2020-12-18,(none),35,2012.0
2020-12-18,<Other>,11,687.0
2020-12-18,cpc,3,194.0
2020-12-18,organic,28,1715.0
2020-12-18,referral,17,1270.0
2020-12-19,(data deleted),8,504.0
2020-12-19,(none),13,802.0
2020-12-19,<Other>,2,279.0
2020-12-19,cpc,2,83.0
2020-12-19,organic,20,748.0
2020-12-19,referral,7,366.0
2020-12-20,(data deleted),2,130.0
2020-12-20,(none),2,77.0
2020-12-20,<Other>,2,81.0
2020-12-20,organic,9,861.0
2020-12-20,referral,5,250.0
2020-12-21,(data deleted),3,77.0
2020-12-21,(none),21,1095.0
2020-12-21,<Other>,4,193.0
2020-12-21,cpc,1,14.0
2020-12-21,organic,15,842.0
2020-12-21,referral,9,1208.0
2020-12-22,(data deleted),9,533.0
2020-12-22,(none),14,554.0
2020-12-22,<Other>,9,479.0
2020-12-22,cpc,1,61.0
2020-12-22,organic,11,494.0
2020-12-22,referral,16,1109.0
2020-12-23,(data deleted),15,938.0
2020-12-23,(none),11,1373.0
2020-12-23,<Other>,9,466.0
2020-12-23,cpc,1,17.0
2020-12-23,organic,22,998.0
2020-12-23,referral,9,626.0
2020-12-24,(data deleted),8,440.0
2020-12-24,(none),3,64.0
2020-12-24,<Other>,4,127.0
2020-12-24,cpc,2,68.0
2020-12-24,organic,3,201.0
2020-12-24,referral,3,292.0
2020-12-25,(data deleted),3,76.0
2020-12-25,(none),4,117.0
2020-12-25,cpc,1,26.0
2020-12-25,organic,5,213.0
2020-12-25,referral,4,120.0
2020-12-26,(data deleted),2,25.0
2020-12-26,(none),3,90.0
2020-12-26,<Other>,1,120.0
2020-12-26,organic,7,332.0
2020-12-26,referral,4,167.0
2020-12-27,(data deleted),4,204.0
2020-12-27,(none),4,287.0
2020-12-27,<Other>,1,18.0
2020-12-27,organic,5,198.0
2020-12-27,referral,6,454.0
2020-12-28,(data deleted),6,262.0
2020-12-28,(none),11,729.0
2020-12-28,<Other>,2,68.0
2020-12-28,cpc,1,22.0
2020-12-28,organic,14,924.0
2020-12-28,referral,2,92.0
2020-12-29,(data deleted),2,76.0
2020-12-29,(none),8,421.0
2020-12-29,<Other>,4,241.0
2020-12-29,organic,5,132.0
2020-12-29,referral,5,548.0
2020-12-30,(data deleted),6,390.0
2020-12-30,(none),3,32.0
2020-12-30,<Other>,2,211.0
2020-12-30,organic,20,200.0
2020-12-30,referral,6,771.0
2020-12-31,(data deleted),4,255.0
2020-12-31,(none),3,54.0
2020-12-31,<Other>,2,97.0
2020-12-31,cpc,1,27.0
2020-12-31,organic,5,283.0
2020-12-31,referral,10,1879.0
2021-01-01,(data deleted),4,106.0
2021-01-01,(none),5,510.0
2021-01-01,cpc,1,137.0
2021-01-01,organic,3,203.0
2021-01-01,referral,1,19.0
2021-01-02,(data deleted),1,36.0
2021-01-02,(none),2,108.0
2021-01-02,<Other>,2,389.0
2021-01-02,organic,6,291.0
2021-01-02,referral,3,202.0
2021-01-03,(data deleted),3,75.0
2021-01-03,(none),2,55.0
2021-01-03,<Other>,4,76.0
2021-01-03,cpc,1,15.0
2021-01-03,organic,1,0.0
2021-01-03,referral,3,331.0
2021-01-04,(data deleted),3,203.0
2021-01-04,(none),4,218.0
2021-01-04,<Other>,1,26.0
2021-01-04,cpc,1,13.0
2021-01-04,organic,5,228.0
2021-01-04,referral,2,146.0
2021-01-05,(data deleted),5,135.0
2021-01-05,(none),4,104.0
2021-01-05,<Other>,1,21.0
2021-01-05,cpc,2,27.0
2021-01-05,organic,14,656.0
2021-01-05,referral,3,200.0
2021-01-06,(data deleted),3,172.0
2021-01-06,(none),10,511.0
2021-01-06,<Other>,3,212.0
2021-01-06,cpc,1,44.0
2021-01-06,organic,6,561.0
2021-01-06,referral,8,500.0
2021-01-07,(data deleted),4,169.0
2021-01-07,(none),8,381.0
2021-01-07,<Other>,1,31.0
2021-01-07,organic,12,863.0
2021-01-07,referral,1,8.0
2021-01-08,(data deleted),3,141.0
2021-01-08,(none),13,713.0
2021-01-08,<Other>,5,268.0
2021-01-08,cpc,3,50.0
2021-01-08,organic,5,163.0
2021-01-08,referral,5,364.0
2021-01-09,(data deleted),3,93.0
2021-01-09,(none),4,346.0
2021-01-09,<Other>,1,57.0
2021-01-09,cpc,1,40.0
2021-01-09,organic,4,404.0
2021-01-09,referral,7,423.0
2021-01-10,(data deleted),1,48.0
2021-01-10,(none),4,328.0
2021-01-10,<Other>,3,79.0
2021-01-10,organic,3,330.0
2021-01-10,referral,3,189.0
2021-01-11,(data deleted),2,103.0
2021-01-11,(none),10,508.0
2021-01-11,<Other>,3,138.0
2021-01-11,cpc,2,159.0
2021-01-11,organic,6,383.0
2021-01-11,referral,5,205.0
2021-01-12,(data deleted),5,512.0
2021-01-12,(none),12,557.0
2021-01-12,<Other>,8,445.0
2021-01-12,cpc,1,42.0
2021-01-12,organic,14,599.0
2021-01-12,referral,8,392.0
2021-01-13,(data deleted),8,400.0
2021-01-13,(none),6,176.0
2021-01-13,<Other>,4,298.0
2021-01-13,cpc,2,42.0
2021-01-13,organic,8,452.0
2021-01-13,referral,8,490.0
2021-01-14,(data deleted),7,428.0
2021-01-14,(none),12,1241.0
2021-01-14,<Other>,5,316.0
2021-01-14,organic,15,548.0
2021-01-14,referral,15,741.0
2021-01-15,(data deleted),4,115.0
2021-01-15,(none),10,256.0
2021-01-15,<Other>,4,230.0
2021-01-15,cpc,1,80.0
2021-01-15,organic,17,895.0
2021-01-15,referral,11,495.0
2021-01-16,(data deleted),3,242.0
2021-01-16,(none),4,160.0
2021-01-16,<Other>,3,141.0
2021-01-16,cpc,1,0.0
2021-01-16,organic,11,457.0
2021-01-16,referral,5,461.0
2021-01-17,(data deleted),2,98.0
2021-01-17,<Other>,3,67.0
2021-01-17,organic,6,199.0
2021-01-17,referral,3,117.0
2021-01-18,(data deleted),1,54.0
2021-01-18,(none),3,159.0
2021-01-18,<Other>,4,245.0
2021-01-18,organic,7,579.0
2021-01-18,referral,4,186.0
2021-01-19,(data deleted),8,416.0
2021-01-19,(none),14,572.0
2021-01-19,<Other>,3,266.0
2021-01-19,organic,14,760.0
2021-01-19,referral,10,1742.0
2021-01-20,(data deleted),12,502.0
2021-01-20,(none),19,1384.0
2021-01-20,<Other>,16,1117.0
2021-01-20,cpc,2,206.0
2021-01-20,organic,26,1958.0
2021-01-20,referral,21,1539.0
2021-01-21,(data deleted),8,476.0
2021-01-21,(none),10,1169.0
2021-01-21,<Other>,1,15.0
2021-01-21,cpc,1,16.0
2021-01-21,organic,18,1275.0
2021-01-21,referral,14,1255.0
2021-01-22,(data deleted),7,444.0
2021-01-22,(none),14,912.0
2021-01-22,<Other>,10,578.0
2021-01-22,cpc,8,420.0
2021-01-22,organic,31,1802.0
2021-01-22,referral,30,1396.0
2021-01-23,(data deleted),8,598.0
2021-01-23,(none),8,476.0
2021-01-23,<Other>,3,406.0
2021-01-23,organic,14,1017.0
2021-01-23,referral,10,250.0
2021-01-24,(data deleted),3,133.0
2021-01-24,(none),7,323.0
2021-01-24,<Other>,3,60.0
2021-01-24,cpc,2,291.0
2021-01-24,organic,12,974.0
2021-01-24,referral,9,627.0
2021-01-25,(data deleted),5,241.0
2021-01-25,(none),12,608.0
2021-01-25,<Other>,6,364.0
2021-01-25,cpc,4,231.0
2021-01-25,organic,16,621.0
2021-01-25,referral,18,1288.0
2021-01-26,(data deleted),12,205.0
2021-01-26,(none),13,266.0
2021-01-26,<Other>,2,0.0
2021-01-26,cpc,1,26.0
2021-01-26,organic,13,342.0
2021-01-26,referral,14,420.0
2021-01-27,(data deleted),7,0.0
2021-01-27,(none),14,175.0
2021-01-27,<Other>,8,55.0
2021-01-27,organic,11,222.0
2021-01-27,referral,14,5.0
2021-01-28,(data deleted),12,19.0
2021-01-28,(none),14,18.0
2021-01-28,<Other>,6,0.0
2021-01-28,cpc,2,0.0
2021-01-28,organic,13,91.0
2021-01-28,referral,22,0.0
2021-01-29,(data deleted),8,0.0
2021-01-29,(none),16,5.0
2021-01-29,<Other>,3,0.0
2021-01-29,cpc,1,0.0
2021-01-29,organic,12,67.0
2021-01-29,referral,14,118.0
2021-01-30,(data deleted),4,0.0
2021-01-30,(none),8,45.0
2021-01-30,<Other>,2,70.0
2021-01-30,organic,9,0.0
2021-01-30,referral,8,44.0
2021-01-31,(data deleted),2,0.0
2021-01-31,(none),7,0.0
2021-01-31,<Other>,4,0.0
2021-01-31,organic,5,0.0
2021-01-31,referral,1,0.0
